rt,stimulus,key_press,trial_type,trial_index,time_elapsed,internal_node_id,stim,noise,action,scramble,communicative,trial_number,index,workerId,interview_date,response,confidence
425.4,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",53,html-keyboard-response,241,627288,0.0-8.0-3.55,stim/test/noi010_act10_scr0_con1_tri005.mp4,10,10,0,1,5,56,A11F3MA5FWH6SJ,10/03/2023,,5
null,"<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,242,628303,0.0-8.0-0.56,stim/test/noi005_act06_scr0_con1_tri040.mp4,5,6,0,1,40,,,,,
null,,null,video-keyboard-response,243,633465,0.0-8.0-1.56,stim/test/noi005_act06_scr0_con1_tri040.mp4,5,6,0,1,40,,,,,
2141.7,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",74,html-keyboard-response,244,635607,0.0-8.0-2.56,stim/test/noi005_act06_scr0_con1_tri040.mp4,5,6,0,1,40,57,A11F3MA5FWH6SJ,10/03/2023,yes,
607.2,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",52,html-keyboard-response,245,636215,0.0-8.0-3.56,stim/test/noi005_act06_scr0_con1_tri040.mp4,5,6,0,1,40,57,A11F3MA5FWH6SJ,10/03/2023,,4
null,"<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,246,637227,0.0-8.0-0.57,stim/test/noi010_act05_scr1_con0_tri008.mp4,10,5,1,0,8,,,,,
null,,null,video-keyboard-response,247,643429,0.0-8.0-1.57,stim/test/noi010_act05_scr1_con0_tri008.mp4,10,5,1,0,8,,,,,
1592.9,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",74,html-keyboard-response,248,645022,0.0-8.0-2.57,stim/test/noi010_act05_scr1_con0_tri008.mp4,10,5,1,0,8,58,A11F3MA5FWH6SJ,10/03/2023,yes,
536.9,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",50,html-keyboard-response,249,645559,0.0-8.0-3.57,stim/test/noi010_act05_scr1_con0_tri008.mp4,10,5,1,0,8,58,A11F3MA5FWH6SJ,10/03/2023,,2
null,"<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,250,646574,0.0-8.0-0.58,stim/test/noi020_act03_scr0_con1_tri002.mp4,20,3,0,1,2,,,,,
null,,null,video-keyboard-response,251,652307,0.0-8.0-1.58,stim/test/noi020_act03_scr0_con1_tri002.mp4,20,3,0,1,2,,,,,
1611.8,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,252,653919,0.0-8.0-2.58,stim/test/noi020_act03_scr0_con1_tri002.mp4,20,3,0,1,2,59,A11F3MA5FWH6SJ,10/03/2023,no,
1271.9,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",52,html-keyboard-response,253,655191,0.0-8.0-3.58,stim/test/noi020_act03_scr0_con1_tri002.mp4,20,3,0,1,2,59,A11F3MA5FWH6SJ,10/03/2023,,4
null,"<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,254,656207,0.0-8.0-0.59,stim/test/noi010_act06_scr1_con0_tri034.mp4,10,6,1,0,34,,,,,
null,,null,video-keyboard-response,255,661370,0.0-8.0-1.59,stim/test/noi010_act06_scr1_con0_tri034.mp4,10,6,1,0,34,,,,,
1182.6,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,256,662553,0.0-8.0-2.59,stim/test/noi010_act06_scr1_con0_tri034.mp4,10,6,1,0,34,60,A11F3MA5FWH6SJ,10/03/2023,no,
502.7,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",53,html-keyboard-response,257,663056,0.0-8.0-3.59,stim/test/noi010_act06_scr1_con0_tri034.mp4,10,6,1,0,34,60,A11F3MA5FWH6SJ,10/03/2023,,5
null,"<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,258,664058,0.0-8.0-0.60,stim/test/noi010_act03_scr1_con0_tri022.mp4,10,3,1,0,22,,,,,
null,,null,video-keyboard-response,259,669782,0.0-8.0-1.60,stim/test/noi010_act03_scr1_con0_tri022.mp4,10,3,1,0,22,,,,,
1671.5,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,260,671454,0.0-8.0-2.60,stim/test/noi010_act03_scr1_con0_tri022.mp4,10,3,1,0,22,61,A11F3MA5FWH6SJ,10/03/2023,no,
120.5,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",53,html-keyboard-response,261,671575,0.0-8.0-3.60,stim/test/noi010_act03_scr1_con0_tri022.mp4,10,3,1,0,22,61,A11F3MA5FWH6SJ,10/03/2023,,5
null,"<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,262,672581,0.0-8.0-0.61,stim/test/noi010_act05_scr0_con1_tri004.mp4,10,5,0,1,4,,,,,
null,,null,video-keyboard-response,263,678782,0.0-8.0-1.61,stim/test/noi010_act05_scr0_con1_tri004.mp4,10,5,0,1,4,,,,,
953.7,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",74,html-keyboard-response,264,679736,0.0-8.0-2.61,stim/test/noi010_act05_scr0_con1_tri004.mp4,10,5,0,1,4,62,A11F3MA5FWH6SJ,10/03/2023,yes,
108.8,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",53,html-keyboard-response,265,679846,0.0-8.0-3.61,stim/test/noi010_act05_scr0_con1_tri004.mp4,10,5,0,1,4,62,A11F3MA5FWH6SJ,10/03/2023,,5
null,"<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,266,680852,0.0-8.0-0.62,stim/test/noi020_act01_scr0_con0_tri009.mp4,20,1,0,0,9,,,,,
null,,null,video-keyboard-response,267,686011,0.0-8.0-1.62,stim/test/noi020_act01_scr0_con0_tri009.mp4,20,1,0,0,9,,,,,
1132.5,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,268,687144,0.0-8.0-2.62,stim/test/noi020_act01_scr0_con0_tri009.mp4,20,1,0,0,9,63,A11F3MA5FWH6SJ,10/03/2023,no,
517.4,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",52,html-keyboard-response,269,687663,0.0-8.0-3.62,stim/test/noi020_act01_scr0_con0_tri009.mp4,20,1,0,0,9,63,A11F3MA5FWH6SJ,10/03/2023,,4
null,"<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,270,688668,0.0-8.0-0.63,stim/test/noi020_act08_scr0_con0_tri012.mp4,20,8,0,0,12,,,,,
null,,null,video-keyboard-response,271,694395,0.0-8.0-1.63,stim/test/noi020_act08_scr0_con0_tri012.mp4,20,8,0,0,12,,,,,
901,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,272,695296,0.0-8.0-2.63,stim/test/noi020_act08_scr0_con0_tri012.mp4,20,8,0,0,12,64,A11F3MA5FWH6SJ,10/03/2023,no,
423.8,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",53,html-keyboard-response,273,695721,0.0-8.0-3.63,stim/test/noi020_act08_scr0_con0_tri012.mp4,20,8,0,0,12,64,A11F3MA5FWH6SJ,10/03/2023,,5
null,"<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,274,696735,0.0-8.0-0.64,stim/test/noi010_act01_scr1_con1_tri012.mp4,10,1,1,1,12,,,,,
null,,null,video-keyboard-response,275,701890,0.0-8.0-1.64,stim/test/noi010_act01_scr1_con1_tri012.mp4,10,1,1,1,12,,,,,
1469.1,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,276,703360,0.0-8.0-2.64,stim/test/noi010_act01_scr1_con1_tri012.mp4,10,1,1,1,12,65,A11F3MA5FWH6SJ,10/03/2023,no,
527.2,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",53,html-keyboard-response,277,703888,0.0-8.0-3.64,stim/test/noi010_act01_scr1_con1_tri012.mp4,10,1,1,1,12,65,A11F3MA5FWH6SJ,10/03/2023,,5
null,"<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,278,704904,0.0-8.0-0.65,stim/test/noi010_act06_scr1_con1_tri014.mp4,10,6,1,1,14,,,,,
null,,null,video-keyboard-response,279,710057,0.0-8.0-1.65,stim/test/noi010_act06_scr1_con1_tri014.mp4,10,6,1,1,14,,,,,
462.1,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,280,710520,0.0-8.0-2.65,stim/test/noi010_act06_scr1_con1_tri014.mp4,10,6,1,1,14,66,A11F3MA5FWH6SJ,10/03/2023,no,
543.1,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",53,html-keyboard-response,281,711064,0.0-8.0-3.65,stim/test/noi010_act06_scr1_con1_tri014.mp4,10,6,1,1,14,66,A11F3MA5FWH6SJ,10/03/2023,,5
null,"<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,282,712073,0.0-8.0-0.66,stim/test/noi020_act08_scr1_con0_tri079.mp4,20,8,1,0,79,,,,,
null,,null,video-keyboard-response,283,717795,0.0-8.0-1.66,stim/test/noi020_act08_scr1_con0_tri079.mp4,20,8,1,0,79,,,,,
331.6,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,284,718127,0.0-8.0-2.66,stim/test/noi020_act08_scr1_con0_tri079.mp4,20,8,1,0,79,67,A11F3MA5FWH6SJ,10/03/2023,no,
823.6,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",53,html-keyboard-response,285,718951,0.0-8.0-3.66,stim/test/noi020_act08_scr1_con0_tri079.mp4,20,8,1,0,79,67,A11F3MA5FWH6SJ,10/03/2023,,5
null,"<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,286,719956,0.0-8.0-0.67,stim/test/noi005_act01_scr0_con0_tri079.mp4,5,1,0,0,79,,,,,
null,,null,video-keyboard-response,287,725120,0.0-8.0-1.67,stim/test/noi005_act01_scr0_con0_tri079.mp4,5,1,0,0,79,,,,,
2143.8,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",74,html-keyboard-response,288,727264,0.0-8.0-2.67,stim/test/noi005_act01_scr0_con0_tri079.mp4,5,1,0,0,79,68,A11F3MA5FWH6SJ,10/03/2023,yes,
582.7,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",53,html-keyboard-response,289,727847,0.0-8.0-3.67,stim/test/noi005_act01_scr0_con0_tri079.mp4,5,1,0,0,79,68,A11F3MA5FWH6SJ,10/03/2023,,5
null,"<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,290,728855,0.0-8.0-0.68,stim/test/noi010_act08_scr0_con1_tri037.mp4,10,8,0,1,37,,,,,
null,,null,video-keyboard-response,291,734586,0.0-8.0-1.68,stim/test/noi010_act08_scr0_con1_tri037.mp4,10,8,0,1,37,,,,,
700.8,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",74,html-keyboard-response,292,735288,0.0-8.0-2.68,stim/test/noi010_act08_scr0_con1_tri037.mp4,10,8,0,1,37,69,A11F3MA5FWH6SJ,10/03/2023,yes,
1487.3,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",52,html-keyboard-response,293,736775,0.0-8.0-3.68,stim/test/noi010_act08_scr0_con1_tri037.mp4,10,8,0,1,37,69,A11F3MA5FWH6SJ,10/03/2023,,4
null,"<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,294,737792,0.0-8.0-0.69,stim/test/noi020_act05_scr0_con1_tri019.mp4,20,5,0,1,19,,,,,
null,,null,video-keyboard-response,295,743995,0.0-8.0-1.69,stim/test/noi020_act05_scr0_con1_tri019.mp4,20,5,0,1,19,,,,,
1709.1,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",74,html-keyboard-response,296,745705,0.0-8.0-2.69,stim/test/noi020_act05_scr0_con1_tri019.mp4,20,5,0,1,19,70,A11F3MA5FWH6SJ,10/03/2023,yes,
399.6,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",53,html-keyboard-response,297,746105,0.0-8.0-3.69,stim/test/noi020_act05_scr0_con1_tri019.mp4,20,5,0,1,19,70,A11F3MA5FWH6SJ,10/03/2023,,5
null,"<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,298,747120,0.0-8.0-0.70,stim/test/noi020_act05_scr1_con1_tri015.mp4,20,5,1,1,15,,,,,
null,,null,video-keyboard-response,299,753316,0.0-8.0-1.70,stim/test/noi020_act05_scr1_con1_tri015.mp4,20,5,1,1,15,,,,,
883.9,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,300,754201,0.0-8.0-2.70,stim/test/noi020_act05_scr1_con1_tri015.mp4,20,5,1,1,15,71,A11F3MA5FWH6SJ,10/03/2023,no,
1479,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",52,html-keyboard-response,301,755680,0.0-8.0-3.70,stim/test/noi020_act05_scr1_con1_tri015.mp4,20,5,1,1,15,71,A11F3MA5FWH6SJ,10/03/2023,,4
null,"<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,302,756695,0.0-8.0-0.71,stim/test/noi010_act01_scr0_con1_tri001.mp4,10,1,0,1,1,,,,,
null,,null,video-keyboard-response,303,761853,0.0-8.0-1.71,stim/test/noi010_act01_scr0_con1_tri001.mp4,10,1,0,1,1,,,,,
1874.5,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",74,html-keyboard-response,304,763728,0.0-8.0-2.71,stim/test/noi010_act01_scr0_con1_tri001.mp4,10,1,0,1,1,72,A11F3MA5FWH6SJ,10/03/2023,yes,
1295.2,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",53,html-keyboard-response,305,765024,0.0-8.0-3.71,stim/test/noi010_act01_scr0_con1_tri001.mp4,10,1,0,1,1,72,A11F3MA5FWH6SJ,10/03/2023,,5
null,"<p style='color:white;'>Data saving...</p><div class=""sk-cube-grid""><div class=""sk-cube sk-cube1""></div><div class=""sk-cube sk-cube2""></div><div class=""sk-cube sk-cube3""></div><div class=""sk-cube sk-cube4""></div><div class=""sk-cube sk-cube5""></div><div class=""sk-cube sk-cube6""></div><div class=""sk-cube sk-cube7""></div><div class=""sk-cube sk-cube8""></div><div class=""sk-cube sk-cube9""></div></div><p style='color:white;'>Do not close this window until the text dissapears.</p>",null,html-keyboard-response,306,770026,0.0-9.0,,,,,,,,,,,
