"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","stim","noise","action","scramble","communicative","trial_number","index","workerId","response"
"1253.7000000029802","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","51","html-keyboard-response","129","378528","0.0-8.0-3.27","stim/test/noi010_act03_scr1_con1_tri003.mp4","010","03","1","1","003","28","A2PR7FI9TP8XLD","3"
"null","<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","130","379532","0.0-8.0-0.28","stim/test/noi005_act10_scr0_con0_tri003.mp4","005","10","0","0","003","","",""
"null","","null","video-keyboard-response","131","385719","0.0-8.0-1.28","stim/test/noi005_act10_scr0_con0_tri003.mp4","005","10","0","0","003","","",""
"1641.199999988079","<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>","74","html-keyboard-response","132","387360","0.0-8.0-2.28","stim/test/noi005_act10_scr0_con0_tri003.mp4","005","10","0","0","003","29","A2PR7FI9TP8XLD","yes"
"3033.7000000029802","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","52","html-keyboard-response","133","390395","0.0-8.0-3.28","stim/test/noi005_act10_scr0_con0_tri003.mp4","005","10","0","0","003","29","A2PR7FI9TP8XLD","4"
"null","<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","134","391400","0.0-8.0-0.29","stim/test/noi005_act06_scr1_con0_tri038.mp4","005","06","1","0","038","","",""
"null","","null","video-keyboard-response","135","396532","0.0-8.0-1.29","stim/test/noi005_act06_scr1_con0_tri038.mp4","005","06","1","0","038","","",""
"2581.4000000059605","<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>","70","html-keyboard-response","136","399114","0.0-8.0-2.29","stim/test/noi005_act06_scr1_con0_tri038.mp4","005","06","1","0","038","30","A2PR7FI9TP8XLD","no"
"709.2999999970198","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","51","html-keyboard-response","137","399824","0.0-8.0-3.29","stim/test/noi005_act06_scr1_con0_tri038.mp4","005","06","1","0","038","30","A2PR7FI9TP8XLD","3"
"null","<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","138","400839","0.0-8.0-0.30","stim/test/noi020_act06_scr1_con0_tri031.mp4","020","06","1","0","031","","",""
"null","","null","video-keyboard-response","139","405980","0.0-8.0-1.30","stim/test/noi020_act06_scr1_con0_tri031.mp4","020","06","1","0","031","","",""
"1167.2000000029802","<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>","70","html-keyboard-response","140","407148","0.0-8.0-2.30","stim/test/noi020_act06_scr1_con0_tri031.mp4","020","06","1","0","031","31","A2PR7FI9TP8XLD","no"
"707.6000000089407","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","51","html-keyboard-response","141","407856","0.0-8.0-3.30","stim/test/noi020_act06_scr1_con0_tri031.mp4","020","06","1","0","031","31","A2PR7FI9TP8XLD","3"
"null","<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","142","408862","0.0-8.0-0.31","stim/test/noi020_act10_scr0_con1_tri023.mp4","020","10","0","1","023","","",""
"null","","null","video-keyboard-response","143","415045","0.0-8.0-1.31","stim/test/noi020_act10_scr0_con1_tri023.mp4","020","10","0","1","023","","",""
"1921.7999999970198","<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>","74","html-keyboard-response","144","416967","0.0-8.0-2.31","stim/test/noi020_act10_scr0_con1_tri023.mp4","020","10","0","1","023","32","A2PR7FI9TP8XLD","yes"
"1974.2999999970198","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","51","html-keyboard-response","145","418942","0.0-8.0-3.31","stim/test/noi020_act10_scr0_con1_tri023.mp4","020","10","0","1","023","32","A2PR7FI9TP8XLD","3"
"null","<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","146","419948","0.0-8.0-0.32","stim/test/noi010_act01_scr0_con0_tri002.mp4","010","01","0","0","002","","",""
"null","","null","video-keyboard-response","147","425075","0.0-8.0-1.32","stim/test/noi010_act01_scr0_con0_tri002.mp4","010","01","0","0","002","","",""
"845.1999999880791","<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>","70","html-keyboard-response","148","425920","0.0-8.0-2.32","stim/test/noi010_act01_scr0_con0_tri002.mp4","010","01","0","0","002","33","A2PR7FI9TP8XLD","no"
"1469.2999999970198","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","51","html-keyboard-response","149","427390","0.0-8.0-3.32","stim/test/noi010_act01_scr0_con0_tri002.mp4","010","01","0","0","002","33","A2PR7FI9TP8XLD","3"
"null","<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","150","428399","0.0-8.0-0.33","stim/test/noi010_act10_scr1_con1_tri010.mp4","010","10","1","1","010","","",""
"null","","null","video-keyboard-response","151","434573","0.0-8.0-1.33","stim/test/noi010_act10_scr1_con1_tri010.mp4","010","10","1","1","010","","",""
"1984.4000000059605","<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>","70","html-keyboard-response","152","436559","0.0-8.0-2.33","stim/test/noi010_act10_scr1_con1_tri010.mp4","010","10","1","1","010","34","A2PR7FI9TP8XLD","no"
